,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
0,Entre 0 y 6 meses,2,2 veces al mes,Efectivo,Sí,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Llamadas telefónicas,Visitas personales,Muy satisfecho,No,No,2.0,2.0,7
1,Entre 6 meses y un año,"3 sabores de helado fresa, vainilla y helado ",1 vez a la semana,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Llamadas telefónicas,Visitas personales,Algo satisfecho,No,Sí,120.0,80.0,7
2,Entre 1 y 3 años,1,1 cada 4 meses ,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Páginas web","Visitas personales, Páginas web",Algo satisfecho,No,No,40.0,30.0,8
3,Entre 0 y 6 meses,"Diversos productos como golosinas, materia prima o artículos para fiestas",2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,No,No,125.0,90.0,8
4,Entre 6 meses y un año,"Dulces, artículos de fiesta, materia prima.",1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,No,No,33.6,150.0,9
5,Entre 6 meses y un año,3,2 veces al mes,"Efectivo, Tarjeta de debito",No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico","Visitas personales, Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,33.6,200.0,9
6,Más de 5 años,20,1 vez al mes,"Efectivo, Tarjeta de debito",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,150.0,60.0,8
7,Entre 0 y 6 meses,79,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,No,No,8.0,30.0,7
8,Más de 5 años,2000,Cada 4 meses ,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,25.0,20.0,10
9,Entre 0 y 6 meses,s,1 vez al mes,Efectivo,Sí,No,"Redes sociales (Instagram, X, entre otras)",Vídeollamada,Vídeollamada,Muy insatisfecho,No,No,3.0,3.0,2
10,Entre 3 y 5 años,40,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Plataformas de pedidos en línea,"Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Software o plataformas compartidas",Muy satisfecho,Sí,No,20.0,100.0,7
11,Entre 0 y 6 meses,100,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,5.0,3.0,2
12,Entre 0 y 6 meses,1,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas",Visitas personales,Muy satisfecho,Sí,Sí,11.0,45.0,7
13,Entre 0 y 6 meses,50,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Llamadas telefónicas,Visitas personales,Muy satisfecho,No,No,25.0,25.0,5
14,Entre 0 y 6 meses,40,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas",Visitas personales,Muy satisfecho,No,No,15.0,15.0,4
15,Entre 1 y 3 años,32,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,50.0,50.0,7
16,Entre 1 y 3 años,45,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,No,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,60.0,40.0,7
